feature_index	feature_index	vector	max_distance	v_gene	j_gene	cdr3_aa_length
342	99933	[0.2556963264942169, -0.42303717136383057, 0.04718295857310295, 1.033761739730835, 0.20538365840911865, 0.14338931441307068, 0.3499750792980194, -0.11389902234077454, -0.2219337671995163, -0.6394352316856384]	0.15	IGKV1E	IGKJ3	9.0
343	99936	[0.22541429102420807, -0.33299022912979126, 0.06966150552034378, 1.1436132192611694, 0.22953879833221436, 0.21979685127735138, 0.04255368933081627, 0.31261008977890015, 0.022024018689990044, -0.2258690595626831]	0.15	IGKV1E	IGKJ3	9.0
344	99938	[0.021655485033988953, -0.21929745376110077, 0.1406908929347992, 1.0258445739746094, 0.10856089740991592, 0.09331818670034409, 0.29882368445396423, 0.088084377348423, -0.15603035688400269, -0.11525065451860428]	0.15	IGKV1E	IGKJ3	9.0
345	99944	[0.02506813406944275, -0.49193763732910156, 0.13746745884418488, 1.1543183326721191, 0.18097937107086182, 0.18434713780879974, -0.02495400421321392, 0.18418057262897491, -0.10291526466608047, -0.05858178436756134]	0.15	IGKV1E	IGKJ3	9.0
346	99952	[0.03914203122258186, -0.4551292061805725, -0.11208212375640869, 1.0608482360839844, 0.04201841354370117, 0.5150631666183472, 0.4924660623073578, -0.13521553575992584, -0.03496532887220383, -0.5031826496124268]	0.15	IGKV1E	IGKJ3	9.0
347	99963	[0.08503799885511398, -0.617293119430542, 0.7782624363899231, 1.0799705982208252, 0.6725309491157532, 0.10094597190618515, 0.073601134121418, 0.30929312109947205, 1.4907150268554688, -0.24658948183059692]	0.15	IGKV1E	IGKJ3	9.0
348	100006	[0.38632920384407043, 0.23389750719070435, 0.6842162013053894, 0.975118100643158, 0.3213016986846924, -0.35117533802986145, 0.753452718257904, -0.08024381846189499, 0.24117888510227203, -0.14447925984859467]	0.15	IGKV1E	IGKJ3	9.0
349	100008	[0.44046327471733093, 0.7487520575523376, 0.699434757232666, 0.9599831104278564, 0.05069844797253609, -0.3391842842102051, 1.009566307067871, -0.1276450902223587, 0.37291690707206726, -0.2739953398704529]	0.15	IGKV1E	IGKJ3	9.0
350	100024	[-0.00763837993144989, -0.4446011185646057, 0.006058922968804836, 0.973814845085144, 0.07363484799861908, 0.15014126896858215, 0.24255704879760742, 0.2152988463640213, 0.11759958416223526, -0.049640484154224396]	0.15	IGKV1E	IGKJ3	9.0
351	105237	[0.19631212949752808, -0.13596545159816742, -0.3656216561794281, 1.044039249420166, 0.1267101764678955, 0.10595458745956421, 0.4461916983127594, -0.19436709582805634, -0.18351708352565765, -0.3627171516418457]	0.15	IGKV1E	IGKJ3	10.0
352	105263	[0.39486822485923767, 0.21464817225933075, 0.5622723698616028, 0.9845237731933594, 0.26853373646736145, -0.29091766476631165, 0.7063170075416565, -0.031565193086862564, 0.2523239850997925, -0.06796132028102875]	0.15	IGKV1E	IGKJ3	10.0
353	105293	[0.21719156205654144, 0.076600581407547, 0.5357134342193604, 1.1973909139633179, 0.2975980341434479, -0.2780301868915558, 0.17184759676456451, 0.013714478351175785, -0.3353407680988312, 0.2843790054321289]	0.15	IGKV1E	IGKJ3	10.0
354	105310	[0.14346197247505188, -0.3967621624469757, -0.2340291291475296, 1.0425405502319336, 0.20724287629127502, 0.18476764857769012, 0.22182705998420715, -0.07168885320425034, 0.23515257239341736, -0.493112713098526]	0.15	IGKV1E	IGKJ3	10.0
355	110268	[0.08872296661138535, -0.4868084788322449, 0.0057850182056427, 1.0882785320281982, 0.18255187571048737, 0.11696986854076385, 0.05454139783978462, 0.03611478954553604, 0.019234683364629745, -0.2992495894432068]	0.15	IGKV1E	IGKJ3	11.0
356	110286	[-0.02232256345450878, 0.3749634027481079, 0.22310085594654083, 1.1797215938568115, 0.24950313568115234, 0.715273916721344, 0.32292261719703674, -0.147988423705101, 0.3801972270011902, 0.1968168318271637]	0.15	IGKV1E	IGKJ3	11.0
357	110291	[0.026045650243759155, -0.020413920283317566, -0.03497464582324028, 1.0924574136734009, 0.38578882813453674, 0.08147303014993668, 0.2846417725086212, -0.02029641531407833, -0.14343436062335968, -0.4700998067855835]	0.15	IGKV1E	IGKJ3	11.0
358	110313	[0.5283284783363342, 0.6735202670097351, 0.4933207035064697, 0.9877090454101562, 0.18974827229976654, -0.41580918431282043, 1.0783592462539673, -0.2744947373867035, 0.39702093601226807, -0.39507511258125305]	0.15	IGKV1E	IGKJ3	11.0
359	110320	[0.15229782462120056, -0.24768193066120148, 0.03987117484211922, 1.092626929283142, 0.3411202132701874, -0.009980366565287113, 0.16063010692596436, 0.21205224096775055, 0.12350388616323471, -0.4646383821964264]	0.15	IGKV1E	IGKJ3	11.0
360	110324	[0.10853711515665054, -0.4610784649848938, 0.012460341677069664, 1.1889855861663818, 0.3572311997413635, 0.07266749441623688, -0.11792874336242676, 0.11562998592853546, -0.0034896861761808395, -0.21398651599884033]	0.15	IGKV1E	IGKJ3	11.0
361	110327	[0.11666785925626755, 0.4403747022151947, 0.404554545879364, 1.2185466289520264, 0.6344943046569824, 0.679736852645874, 0.3230370283126831, -0.14607760310173035, 0.2627734839916229, 0.22893881797790527]	0.15	IGKV1E	IGKJ3	11.0
362	110346	[0.36710548400878906, 0.22937355935573578, 0.4291366934776306, 1.2732808589935303, 0.4227982759475708, -0.3549879193305969, -0.001513031660579145, 0.06390639394521713, 0.0763879045844078, 0.2294073849916458]	0.15	IGKV1E	IGKJ3	11.0
363	110348	[0.15681660175323486, 0.17283226549625397, 0.24262407422065735, 1.28695809841156, 0.36168551445007324, -0.3651546835899353, -0.16260872781276703, -0.05824073404073715, 0.1589663326740265, 0.4273938238620758]	0.15	IGKV1E	IGKJ3	11.0
364	112818	[0.19116902351379395, 0.05814114212989807, 0.34251776337623596, 1.2017571926116943, 0.40223920345306396, -0.44871577620506287, 0.036874204874038696, 0.1335257887840271, 0.1281099170446396, 0.37350958585739136]	0.15	IGKV1E	IGKJ3	12.0
365	113192	[0.35217785835266113, 0.08697520941495895, 0.19498023390769958, 1.1831953525543213, 0.4368470311164856, -0.2977654039859772, 0.07904937118291855, -0.005961739923804998, 0.03802638128399849, 0.3532280921936035]	0.15	IGKV1E	IGKJ3	13.0
366	113388	[0.2106063812971115, -0.06003846600651741, 0.20338506996631622, 0.8736770153045654, -0.16127628087997437, -0.0030947960913181305, 0.41158899664878845, -0.13589850068092346, 0.014269188977777958, 0.10881060361862183]	0.15	IGKV1E	IGKJ4	5.0
367	113422	[0.08775608986616135, -0.21905140578746796, -0.3868137300014496, 0.9944285154342651, -0.2523603141307831, 0.06030605360865593, -0.10524837672710419, 0.15263713896274567, 1.2077052593231201, 0.24326598644256592]	0.15	IGKV1E	IGKJ4	5.0
368	113507	[0.25645580887794495, -0.263362854719162, 0.49177294969558716, 0.7922624349594116, 0.35443487763404846, 0.3556070923805237, 0.4110352098941803, 0.06784912943840027, 0.39636844396591187, 0.08203835785388947]	0.15	IGKV1E	IGKJ4	5.0
369	113959	[0.11318223923444748, -0.2252473086118698, -0.009863171726465225, 1.1467949151992798, 0.030395885929465294, 0.3216271996498108, 0.23478291928768158, 0.3569551408290863, -0.20034271478652954, -0.4446389675140381]	0.15	IGKV1E	IGKJ4	7.0
370	113970	[0.10647852718830109, -0.2156275063753128, 0.09550781548023224, 1.0219943523406982, 0.028160732239484787, 0.30845776200294495, 0.17904703319072723, 0.21279427409172058, 0.2794764041900635, -0.037006013095378876]	0.15	IGKV1E	IGKJ4	7.0
371	114546	[0.07132674008607864, -0.5048362016677856, 0.007125523407012224, 1.1714484691619873, 0.2106218785047531, 0.4225175976753235, -0.1144646555185318, 0.29863259196281433, 0.29637083411216736, 0.1055077537894249]	0.15	IGKV1E	IGKJ4	8.0
372	114550	[0.04081350564956665, -0.220163956284523, -0.043284106999635696, 1.0213935375213623, 0.543968141078949, 0.20506583154201508, 0.28933656215667725, -0.23604965209960938, -0.10887329280376434, -0.4409991502761841]	0.15	IGKV1E	IGKJ4	8.0
373	114562	[0.0009306506253778934, 0.36266598105430603, 0.39730334281921387, 1.0358397960662842, 0.48979541659355164, 1.052984595298767, 0.746318519115448, -0.16236267983913422, 0.2718612849712372, 0.10666733980178833]	0.15	IGKV1E	IGKJ4	8.0
374	114585	[0.10802802443504333, -0.36571013927459717, 0.04727499932050705, 1.1368155479431152, 0.4132218360900879, 0.470965176820755, 0.030552826821804047, 0.19613459706306458, 0.0685652643442154, -0.12194694578647614]	0.15	IGKV1E	IGKJ4	8.0
375	114592	[0.08840879797935486, -0.057289592921733856, -0.11721924692392349, 1.0911424160003662, -0.09762473404407501, 0.1987229287624359, 0.30412641167640686, 0.04073560610413551, -0.2284102737903595, -0.14126141369342804]	0.15	IGKV1E	IGKJ4	8.0
376	114611	[-0.030862489715218544, 0.2948414385318756, 0.36792609095573425, 1.0770175457000732, 0.35316580533981323, 0.8919089436531067, 0.4514233469963074, -0.3721262216567993, 0.32701897621154785, 0.14528638124465942]	0.15	IGKV1E	IGKJ4	8.0
377	114623	[-0.10410892963409424, -0.32513856887817383, -0.3466060757637024, 1.254927158355713, 0.04625597968697548, 0.2447308599948883, 0.026073215529322624, -0.12216003239154816, -0.2380295991897583, -0.32050302624702454]	0.15	IGKV1E	IGKJ4	8.0
378	114628	[0.18008773028850555, -0.35810166597366333, 0.21866855025291443, 1.1268894672393799, 0.5578088760375977, 0.40819478034973145, -0.024195734411478043, 0.19377554953098297, 0.29536890983581543, -0.11443440616130829]	0.15	IGKV1E	IGKJ4	8.0
379	117349	[0.05653531104326248, 0.14335963129997253, -0.07048770040273666, 1.2793045043945312, 0.21130616962909698, -0.2206753045320511, 0.14337852597236633, -0.4500165581703186, -0.12562429904937744, 0.6054999232292175]	0.15	IGKV1E	IGKJ4	9.0
380	117353	[0.07075998932123184, -0.5430793762207031, 0.059803228825330734, 1.1577850580215454, 0.19726857542991638, 0.21332116425037384, -0.04268311709165573, 0.3359019458293915, -0.02652968466281891, -0.05616630241274834]	0.15	IGKV1E	IGKJ4	9.0
381	117380	[-0.03789149969816208, -0.29429981112480164, 0.26622849702835083, 1.106864333152771, 0.21856151521205902, 0.08311197906732559, 0.2897860109806061, 0.11790072917938232, -0.3750707805156708, -0.3447059392929077]	0.15	IGKV1E	IGKJ4	9.0
382	117403	[0.2538764178752899, -0.4417765140533447, -0.09941750019788742, 1.0383415222167969, 0.1450236290693283, 0.12989087402820587, 0.33976614475250244, -0.21161837875843048, -0.26646292209625244, -0.5513864159584045]	0.15	IGKV1E	IGKJ4	9.0
383	117423	[0.25616228580474854, 0.27866092324256897, 0.46638569235801697, 0.9451807141304016, 0.19591544568538666, -0.31155186891555786, 0.9380198121070862, -0.02813386172056198, 0.10495711117982864, -0.2923894226551056]	0.15	IGKV1E	IGKJ4	9.0
384	117430	[0.3743547201156616, 0.5173158645629883, 0.20763321220874786, 1.333536148071289, 0.2575681507587433, -0.37565362453460693, 0.021811282262206078, -0.17605054378509521, -0.06343052536249161, 0.4313410818576813]	0.15	IGKV1E	IGKJ4	9.0
385	117445	[0.4816589951515198, 0.334620863199234, 0.6387059092521667, 0.8404483199119568, 0.07872617244720459, -0.37099942564964294, 1.0302765369415283, -0.13695555925369263, 0.35822927951812744, -0.40939009189605713]	0.15	IGKV1E	IGKJ4	9.0
386	117449	[0.06413346529006958, 0.39936333894729614, 0.20612764358520508, 1.3782095909118652, 0.22047318518161774, -0.16641740500926971, -0.07124128192663193, 0.058945249766111374, -0.0250055193901062, 0.4321546256542206]	0.15	IGKV1E	IGKJ4	9.0
387	117460	[0.040496401488780975, -0.14248058199882507, -0.10469204187393188, 1.0396919250488281, 0.3624740242958069, 0.12086613476276398, 0.3555554151535034, -0.23235908150672913, -0.257403165102005, -0.4529545307159424]	0.15	IGKV1E	IGKJ4	9.0
388	117476	[0.14202696084976196, -0.24859656393527985, -0.09882491081953049, 1.0950793027877808, 0.437461256980896, 0.11944106221199036, 0.07766740769147873, -0.11864369362592697, -0.017329387366771698, -0.5058078169822693]	0.15	IGKV1E	IGKJ4	9.0
389	117482	[0.11578915268182755, -0.15736763179302216, 0.3285318911075592, 1.227298378944397, 0.39501094818115234, -0.14846055209636688, -0.07054879516363144, 0.0650695189833641, -0.09331115335226059, 0.6355069875717163]	0.15	IGKV1E	IGKJ4	9.0
390	117544	[0.32331201434135437, 0.33523958921432495, 0.40275028347969055, 0.8917902112007141, -0.33085548877716064, -0.09146008640527725, 1.0977131128311157, -0.41588518023490906, 0.5122722387313843, -0.4880269765853882]	0.15	IGKV1E	IGKJ4	9.0
391	117552	[0.08220504969358444, -0.1394432932138443, -0.09155120700597763, 1.0479528903961182, 0.058275967836380005, 0.3488577604293823, 0.3127495050430298, 0.061985693871974945, 0.12270621955394745, -0.3648650646209717]	0.15	IGKV1E	IGKJ4	9.0
392	117561	[0.4136100709438324, -0.12275698781013489, -0.03962543234229088, 1.1514544486999512, 0.05990004912018776, 0.2750907242298126, 0.22279858589172363, -0.272320955991745, -0.12331312149763107, -0.6589150428771973]	0.15	IGKV1E	IGKJ4	9.0
393	117604	[0.04177851602435112, -0.637507438659668, 0.7394804358482361, 1.0942277908325195, 0.7099451422691345, 0.11649571359157562, 0.08264461159706116, 0.30303138494491577, 1.4974570274353027, -0.21432015299797058]	0.15	IGKV1E	IGKJ4	9.0
394	117619	[0.09387776255607605, -0.2132224291563034, 0.04608641564846039, 1.0211759805679321, 0.7060775756835938, 0.21477872133255005, 0.27886080741882324, -0.3341210186481476, -0.0800606980919838, -0.36919650435447693]	0.15	IGKV1E	IGKJ4	9.0
395	124037	[0.12141571193933487, -0.251364141702652, -0.3981395363807678, 1.098939299583435, 0.09721796214580536, 0.12710866332054138, 0.27189210057258606, -0.0998629480600357, -0.04789331182837486, -0.173818901181221]	0.15	IGKV1E	IGKJ4	10.0
396	124044	[0.1064678505063057, -0.2696549594402313, -0.12160912156105042, 1.1131248474121094, -0.07469557970762253, 0.018100852146744728, 0.30779650807380676, 0.5787414908409119, -0.03694436326622963, -0.2557053864002228]	0.15	IGKV1E	IGKJ4	10.0
397	124058	[0.3460833728313446, 0.37097999453544617, 0.2827930152416229, 1.192710041999817, 0.3553667962551117, -0.27939966320991516, 0.19528858363628387, 0.016080358996987343, 0.00053816830040887, 0.5919744968414307]	0.15	IGKV1E	IGKJ4	10.0
398	124059	[-0.005627515260130167, 0.33801132440567017, 0.1466640681028366, 1.180289626121521, 0.22375614941120148, 0.7925707697868347, 0.42410293221473694, 0.10662958770990372, 0.3797183632850647, 0.1831214427947998]	0.15	IGKV1E	IGKJ4	10.0
399	124060	[0.21646727621555328, -0.1582067459821701, -0.2094554603099823, 1.1438440084457397, 0.18877442181110382, 0.08831264078617096, 0.11837232112884521, -0.05878571793437004, -0.044201482087373734, -0.3215789794921875]	0.15	IGKV1E	IGKJ4	10.0
400	124069	[0.07273130118846893, -0.4125213623046875, 0.0927523747086525, 1.039118766784668, 0.24962218105793, -0.12400639057159424, 0.25127092003822327, 0.11045040190219879, 0.12994767725467682, -0.6814387440681458]	0.15	IGKV1E	IGKJ4	10.0
401	124070	[0.08256174623966217, -0.3796965777873993, -0.0963783785700798, 1.0237592458724976, 0.04157989099621773, 0.09730454534292221, 0.3325715959072113, 0.23849831521511078, -0.11344778537750244, -0.3802015483379364]	0.15	IGKV1E	IGKJ4	10.0
402	124084	[0.23531800508499146, 0.26898398995399475, 0.0899796411395073, 1.3018147945404053, 0.4455620348453522, -0.28802767395973206, -0.05138732120394707, -0.196657195687294, -0.025549255311489105, 0.5828733444213867]	0.15	IGKV1E	IGKJ4	10.0
403	124091	[0.15823283791542053, -0.37919753789901733, 0.01706833764910698, 1.077634334564209, 0.3174912631511688, 0.21346306800842285, 0.24937422573566437, -0.0006586194504052401, -0.25404465198516846, -0.5480177402496338]	0.15	IGKV1E	IGKJ4	10.0
404	124094	[0.191338449716568, -0.08979243040084839, -0.35612767934799194, 1.28083336353302, 0.2884151339530945, 0.1921064555644989, 0.18982161581516266, 0.2594587504863739, -0.3644101917743683, -0.3939477503299713]	0.15	IGKV1E	IGKJ4	10.0
405	124100	[0.22970180213451385, -0.06412611901760101, -0.3196696937084198, 1.1732046604156494, 0.39076319336891174, 0.08111099898815155, 0.20758576691150665, -0.35302823781967163, -0.19290441274642944, -0.2518540918827057]	0.15	IGKV1E	IGKJ4	10.0
406	124122	[0.11375955492258072, 0.36540934443473816, 0.2868276536464691, 1.3922854661941528, 0.5712808966636658, -0.3816726803779602, -0.15310458838939667, -0.11535649746656418, -0.02726602926850319, 0.2971082031726837]	0.15	IGKV1E	IGKJ4	10.0
407	124126	[0.15281355381011963, -0.21582373976707458, 0.2321111559867859, 1.2657732963562012, 0.4877408742904663, -0.13114669919013977, -0.20144513249397278, 0.18079259991645813, 0.15303809940814972, 0.6787045001983643]	0.15	IGKV1E	IGKJ4	10.0
408	124208	[0.20512382686138153, -0.19177581369876862, -0.22638197243213654, 1.263655185699463, 0.5092593431472778, 0.11379450559616089, 0.13817623257637024, 0.0384802408516407, -0.4813574254512787, -0.36450251936912537]	0.15	IGKV1E	IGKJ4	10.0
409	124211	[0.41692113876342773, 0.7686105966567993, 0.6826580762863159, 1.0785033702850342, 0.25377410650253296, -0.5157784223556519, 0.9751132726669312, -0.21119439601898193, 0.47129684686660767, -0.4889802932739258]	0.15	IGKV1E	IGKJ4	10.0
410	130074	[0.07875075936317444, -0.21457093954086304, -0.1702038049697876, 1.069514274597168, 0.10300330817699432, 0.18033674359321594, 0.2560504078865051, 0.15232160687446594, 0.13732165098190308, -0.3372167646884918]	0.15	IGKV1E	IGKJ4	11.0
411	130107	[0.24842569231987, 0.5319486260414124, 0.29013070464134216, 1.2803581953048706, 0.13102927803993225, 0.7043727040290833, 0.19588813185691833, -0.3649183213710785, 0.5969811081886292, 0.39952346682548523]	0.15	IGKV1E	IGKJ4	11.0
412	130108	[0.19935710728168488, 0.4713982045650482, 0.23086902499198914, 1.394328236579895, 0.3997337520122528, -0.44499948620796204, -0.028042392805218697, -0.022494278848171234, -0.032825496047735214, 0.23164670169353485]	0.15	IGKV1E	IGKJ4	11.0
413	130137	[0.1872841715812683, 0.21687591075897217, 0.16323019564151764, 1.2718168497085571, 0.28541070222854614, -0.4260534346103668, -0.008357730694115162, -0.1198095828294754, -0.0009170450503006577, 0.44191083312034607]	0.15	IGKV1E	IGKJ4	11.0
414	130143	[0.420284241437912, -0.2929741442203522, 0.6450558304786682, 1.025173306465149, 0.3978079855442047, 0.07032352685928345, 0.29899778962135315, 0.4797922968864441, 1.4074252843856812, -0.12957847118377686]	0.15	IGKV1E	IGKJ4	11.0
415	130159	[0.5047589540481567, 0.39450544118881226, 0.8131526708602905, 0.9638107419013977, 0.5870962738990784, -0.5192509889602661, 0.8912200927734375, -0.21677911281585693, 0.4426399767398834, -0.33059975504875183]	0.15	IGKV1E	IGKJ4	11.0
416	130177	[0.01046415138989687, 0.1661195456981659, -0.1830485612154007, 1.2072466611862183, 0.06975419819355011, 0.2154543399810791, 0.19858600199222565, 0.003409204538911581, 0.033791519701480865, -0.4073561131954193]	0.15	IGKV1E	IGKJ4	11.0
417	132605	[0.12806718051433563, 0.5309720635414124, 0.1815735548734665, 1.2484416961669922, 0.1074579581618309, 0.6371014714241028, 0.2502751052379608, -0.4272840917110443, 0.5534675717353821, 0.40249189734458923]	0.15	IGKV1E	IGKJ4	12.0
418	132617	[-0.042787276208400726, 0.3139098286628723, 0.06592084467411041, 1.2178866863250732, 0.24123723804950714, 0.6293779611587524, 0.23547089099884033, -0.0783529132604599, 0.43036842346191406, 0.3335481584072113]	0.15	IGKV1E	IGKJ4	12.0
419	132908	[0.32746362686157227, 0.1454669088125229, 0.3273768723011017, 1.2071596384048462, 0.3780004680156708, -0.3510883152484894, 0.06375491619110107, 0.059525519609451294, 0.00576454633846879, 0.3872840106487274]	0.15	IGKV1E	IGKJ4	13.0
420	133105	[-0.0026996408123522997, -0.24917219579219818, -0.11329641938209534, 1.1827174425125122, 0.21512286365032196, 0.24682778120040894, 0.1252443939447403, 0.18787722289562225, -0.23728646337985992, -0.5865808129310608]	0.15	IGKV1E	IGKJ5	6.0
421	133183	[0.11649962514638901, -0.4252725839614868, -0.0391048789024353, 1.0815144777297974, 0.1645326465368271, 0.11162314563989639, 0.22710499167442322, 0.002975513692945242, -0.19963915646076202, -0.6146572232246399]	0.15	IGKV1E	IGKJ5	7.0
422	133361	[0.3827446699142456, -0.3605330288410187, 0.0872320607304573, 1.0456160306930542, 0.15963228046894073, 0.20152585208415985, 0.27949807047843933, -0.2486037164926529, -0.029030147939920425, -0.46645188331604004]	0.15	IGKV1E	IGKJ5	8.0
423	133363	[0.2128005176782608, -0.23840747773647308, -0.36964672803878784, 1.1030155420303345, 0.18623986840248108, 0.14501897990703583, 0.26386725902557373, -0.1608128398656845, -0.17878396809101105, -0.5333431363105774]	0.15	IGKV1E	IGKJ5	8.0
424	133376	[0.22129373252391815, 0.2578423321247101, 0.36009323596954346, 1.2583197355270386, 0.549485981464386, -0.3090546429157257, -0.00893984455615282, -0.18556571006774902, -0.17462480068206787, 0.43672218918800354]	0.15	IGKV1E	IGKJ5	8.0
425	133382	[0.22630245983600616, -0.04279797151684761, 0.5823108553886414, 1.1022876501083374, 0.8441103100776672, -0.4452091157436371, 0.062333572655916214, 0.004875779151916504, 0.3358522355556488, 0.3763892948627472]	0.15	IGKV1E	IGKJ5	8.0
426	133417	[0.07470590621232986, 0.19861778616905212, -0.09041721373796463, 1.3731223344802856, 0.30287104845046997, -0.17937298119068146, 0.029170406982302666, -0.49008849263191223, -0.14216333627700806, 0.6939579248428345]	0.15	IGKV1E	IGKJ5	8.0
427	133419	[0.3433612883090973, 0.34154781699180603, 0.5656821131706238, 0.9576113820075989, 0.5666657090187073, 0.6090591549873352, 0.7410690188407898, -0.6306381225585938, 0.4283786714076996, 0.606839120388031]	0.15	IGKV1E	IGKJ5	8.0
428	134415	[0.059186141937971115, -0.2017117291688919, 0.02298191748559475, 1.001752495765686, 0.22464986145496368, 0.11383793503046036, 0.3649325370788574, 0.20520205795764923, -0.0538938008248806, -0.1396380215883255]	0.15	IGKV1E	IGKJ5	9.0
429	134517	[0.18779407441616058, -0.21452687680721283, -0.4391252398490906, 1.2570170164108276, 0.27780601382255554, 0.2504223883152008, 0.11429781466722488, 0.13049618899822235, -0.41220933198928833, -0.3964686989784241]	0.15	IGKV1E	IGKJ5	9.0
430	134518	[0.3271099925041199, -0.1124616488814354, 0.06357523798942566, 1.1290901899337769, 0.01419082097709179, 0.12274643033742905, 0.249187633395195, 0.32406026124954224, -0.10836914926767349, -0.2648538053035736]	0.15	IGKV1E	IGKJ5	9.0
431	134524	[0.027870401740074158, -0.174794539809227, -0.036999329924583435, 0.9796323776245117, 0.22187943756580353, 0.22569520771503448, 0.3852151036262512, -0.19843041896820068, -0.18887445330619812, -0.444396436214447]	0.15	IGKV1E	IGKJ5	9.0
432	134546	[0.4822315573692322, 0.5534847974777222, 0.6986473202705383, 1.137022614479065, 0.1472516804933548, -0.5200274586677551, 0.785274088382721, -0.11953192949295044, 0.0268276147544384, -0.23910829424858093]	0.15	IGKV1E	IGKJ5	9.0
433	137519	[0.1975499987602234, 0.3598627746105194, 0.47055625915527344, 1.1848169565200806, 0.5618786811828613, -0.343464195728302, 0.20612451434135437, -0.10624448210000992, -0.10947857797145844, 0.5100839734077454]	0.15	IGKV1E	IGKJ5	10.0
434	137520	[0.25679776072502136, -0.31953656673431396, 0.8367463946342468, 1.0104690790176392, 0.7996543049812317, -0.011764509603381157, 0.256869375705719, 0.18182766437530518, 1.2110847234725952, -0.2174314260482788]	0.15	IGKV1E	IGKJ5	10.0
435	137526	[-0.004865869879722595, -0.4515160322189331, -0.07238725572824478, 1.0380849838256836, 0.11856973171234131, 0.26128509640693665, 0.2743535339832306, -0.048473358154296875, -0.015128160826861858, -0.3730616867542267]	0.15	IGKV1E	IGKJ5	10.0
436	137538	[0.07434509694576263, -0.24029935896396637, -0.06611154973506927, 1.050033450126648, 0.19402334094047546, -0.055008240044116974, 0.30784204602241516, 0.05421793460845947, -0.167544886469841, -0.5278967022895813]	0.15	IGKV1E	IGKJ5	10.0
437	137552	[0.20877066254615784, -0.581834614276886, -0.042484644800424576, 1.1448582410812378, 0.22150444984436035, 0.22321052849292755, -0.010405868291854858, 0.16945026814937592, -0.040135595947504044, -0.33629947900772095]	0.15	IGKV1E	IGKJ5	10.0
438	137556	[-0.03375168889760971, -0.003966153599321842, 0.45084038376808167, 1.1922223567962646, 0.3271022140979767, -0.28713729977607727, 0.10809198766946793, -0.1201896220445633, -0.05503997951745987, 0.4458077549934387]	0.15	IGKV1E	IGKJ5	10.0
439	140593	[0.10075370967388153, 0.42647382616996765, 0.28815707564353943, 1.1783690452575684, 0.5404823422431946, 0.712730348110199, 0.4162960946559906, -0.0848151296377182, 0.27489346265792847, 0.1823197454214096]	0.15	IGKV1E	IGKJ5	11.0
440	140606	[0.08877214789390564, -0.3019353151321411, 0.008452937938272953, 1.1520271301269531, 0.5802519917488098, 0.11039511859416962, 0.06149539351463318, -0.07143349945545197, -0.18333210051059723, -0.41829758882522583]	0.15	IGKV1E	IGKJ5	11.0
441	140612	[0.15146377682685852, -0.07572631537914276, -0.10713310539722443, 1.128125786781311, 0.11010235548019409, 0.17104843258857727, 0.23633360862731934, 0.07712595909833908, -0.09137562662363052, -0.43210047483444214]	0.15	IGKV1E	IGKJ5	11.0
442	141346	[0.36515963077545166, 0.14240755140781403, 0.40114879608154297, 1.2106657028198242, 0.5882351994514465, -0.31590694189071655, 0.15099835395812988, 0.07124727219343185, -0.13296958804130554, 0.30465835332870483]	0.15	IGKV1E	IGKJ5	12.0
443	141399	[0.29089757800102234, 0.08267077058553696, 0.2939707636833191, 1.2240628004074097, 0.30788370966911316, -0.3887805938720703, -0.00995028205215931, 0.11725196987390518, 0.12234220653772354, 0.47585296630859375]	0.15	IGKV1E	IGKJ5	13.0
444	141439	[0.3235849142074585, -0.08366868644952774, -0.2479519248008728, 0.9839048385620117, -0.21127212047576904, -0.03458234667778015, 0.21170949935913086, -0.009459324181079865, 0.7183730006217957, 0.5416303277015686]	0.15	IGKV2	IGKJ1	5.0
445	141620	[0.28327974677085876, 0.312389075756073, -0.6449475288391113, 1.138800859451294, 0.1842421144247055, -0.2387595921754837, 0.572590708732605, -0.6491608619689941, 0.21073992550373077, 0.5299081206321716]	0.15	IGKV2	IGKJ1	8.0
446	141629	[0.46299463510513306, 0.44488102197647095, -0.6235095262527466, 1.25357985496521, 0.07826295495033264, -0.4679635763168335, 0.35673969984054565, -0.7340513467788696, 0.371766597032547, 0.5521789193153381]	0.15	IGKV2	IGKJ1	8.0
447	141635	[0.3535078167915344, 0.09098099172115326, -0.7634025812149048, 1.3158990144729614, 0.24980752170085907, -0.24276158213615417, 0.11811487376689911, -0.7191446423530579, 0.40677502751350403, 0.733038604259491]	0.15	IGKV2	IGKJ1	8.0
448	141652	[0.5522211790084839, 0.08457063883543015, -0.4608396589756012, 1.1595251560211182, -0.026823541149497032, -0.00969959981739521, 0.46491536498069763, -0.3046150803565979, 0.06813908368349075, 0.11453473567962646]	0.15	IGKV2	IGKJ1	8.0
449	141666	[0.5995061993598938, 0.709931492805481, -0.5474944710731506, 1.4764541387557983, 0.34796595573425293, -0.5448525547981262, 0.23348434269428253, -0.8680650591850281, 0.2520456612110138, 0.7099480628967285]	0.15	IGKV2	IGKJ1	8.0
450	142210	[0.6531480550765991, 0.24755604565143585, -0.7940298318862915, 1.0343585014343262, -0.09240539371967316, -0.09877956658601761, 0.7522560358047485, -0.25291410088539124, 0.5130468606948853, 0.4891691207885742]	0.15	IGKV2	IGKJ1	9.0
